#catcowhorse
#cathorse
#babooncatchimpcowgibbonhorsehumanmacaquemarmosetmouseorangrat
#babooncatchimpcowgibbonhorsehumanmacaquemarmosetorang
#macaque
#cat
#horse
#cow
#baboonchimpgibbonhumanmacaquemarmosetorang
#baboonchimpgibbonhumanmacaqueorang
#chimpgibbonhumanorang
#chimphumanorang
#chimphuman
#chimp
#human
#orang
#gibbon
#baboonmacaque
#baboon
#marmoset
#mouserat
#rat
#mouse
31	32	27	32	36	37	41	25	29	31	30	30	30	30	29	30	35	35	36	24	28	19	25	1
22	21	25	20	40	19	15	15	37	34	34	35	36	35	37	35	34	41	42	37	30	29	36	1
62	64	68	64	50	77	51	78	64	58	56	57	60	59	57	50	56	52	56	73	80	75	81	1
46	46	45	43	44	49	46	32	42	48	52	53	51	52	52	52	54	44	46	47	41	37	48	1
18	20	19	17	21	21	22	24	16	19	19	20	21	23	21	18	23	22	24	17	18	19	16	1
51	51	48	53	60	45	44	46	54	53	50	52	49	47	49	54	58	59	58	58	44	41	40	1
82	79	84	86	83	85	67	91	76	79	74	77	72	72	70	74	78	82	87	78	93	82	84	1
24	22	29	29	29	17	21	29	30	32	29	28	38	37	40	25	38	27	25	19	40	41	35	1
6	7	8	6	8	10	6	6	6	6	6	5	5	5	5	8	6	8	8	3	10	13	14	1
67	72	55	62	63	78	85	89	65	65	62	64	68	65	69	61	63	62	61	62	47	39	49	1
75	75	79	73	58	95	69	76	78	72	72	72	77	77	76	76	71	59	60	85	70	73	70	1
52	53	54	54	53	45	55	38	52	54	55	56	55	53	56	57	57	52	50	61	59	61	55	1
48	47	54	54	45	56	51	37	45	44	44	44	45	44	46	42	42	41	36	50	49	44	48	1
17	18	9	14	19	20	12	19	13	14	16	17	19	18	20	17	15	17	18	13	9	7	7	1
28	28	23	28	22	34	28	24	23	24	25	24	24	24	25	25	23	22	20	19	20	18	26	1
71	73	60	69	64	82	73	66	66	68	69	68	65	62	62	69	67	65	62	65	77	78	72	1
17	17	14	15	17	12	23	18	15	13	13	13	14	14	13	12	14	14	14	19	8	7	3	1
73	72	64	69	52	60	83	79	55	54	60	61	59	59	61	56	55	53	54	60	52	42	42	1
96	97	92	91	94	95	84	98	93	93	94	93	91	94	91	89	95	93	94	87	99	87	88	1
58	58	54	63	68	51	66	53	60	65	64	65	66	62	64	68	65	69	67	54	56	48	59	1
93	91	84	90	81	88	85	91	82	80	80	78	78	72	77	77	78	83	84	83	99	99	99	1
33	34	33	35	29	19	34	40	37	38	38	38	37	38	38	39	35	32	33	32	35	37	36	1
17	16	39	24	19	13	18	22	19	18	19	20	21	20	23	18	17	18	18	24	31	30	33	1
14	15	11	14	26	22	12	21	14	17	17	17	19	20	20	17	18	24	23	18	12	13	14	1
34	33	28	31	36	34	32	27	36	40	43	44	43	44	43	45	43	36	33	39	28	32	28	1
34	34	41	34	39	23	40	32	36	36	34	34	33	33	29	36	34	39	39	36	67	56	57	1
