#AB
#A
#B
24	24	24	1
37	37	37	1
64	65	63	1
16	16	16	1
66	66	66	1
98	98	98	1
38	38	38	1
38	39	39	1
91	91	91	1
93	92	93	1
98	96	97	1
43	42	43	1
97	96	97	1
10	10	10	1
34	36	34	1
27	27	27	1
68	68	68	1
98	98	98	1
96	96	98	1
86	86	87	1
72	72	72	1
14	14	14	1
1	1	1	1
55	55	56	1
34	33	35	1
92	92	91	1
88	87	88	1
56	57	56	1
79	78	77	1
68	68	67	1
81	80	83	1
29	30	29	1
7	7	7	1
58	58	58	1
84	84	84	1
84	84	82	1
15	15	15	1
5	5	5	1
12	12	12	1
33	33	33	1
25	25	25	1
55	55	56	1
95	96	95	1
79	78	80	1
71	71	71	1
11	12	11	1
24	24	24	1
68	68	69	1
21	21	21	1
12	12	12	1
43	43	43	1
42	43	43	1
64	63	65	1
58	58	58	1
89	89	89	1
75	76	75	1
48	48	48	1
0	0	0	1
57	57	57	1
41	41	42	1
20	20	20	1
51	51	51	1
26	27	27	1
2	2	2	1
81	81	81	1
89	89	88	1
82	82	82	1
50	49	50	1
51	50	51	1
15	15	15	1
29	28	30	1
25	24	25	1
30	30	30	1
7	7	7	1
85	85	87	1
99	99	99	1
80	79	79	1
20	20	19	1
37	36	37	1
56	56	57	1
16	16	16	1
9	9	9	1
64	69	63	1
41	42	40	1
43	45	42	1
39	40	38	1
78	75	79	1
63	63	62	1
32	32	32	1
7	7	7	1
77	77	77	1
18	18	18	1
56	56	55	1
51	51	51	1
64	64	66	1
20	20	20	1
85	85	85	1
37	36	37	1
66	67	67	1
34	35	34	1
70	72	70	1
77	78	79	1
99	99	99	1
44	44	44	1
62	63	61	1
26	26	26	1
75	75	74	1
48	48	48	1
26	26	26	1
58	57	58	1
65	65	65	1
89	89	91	1
52	52	52	1
83	83	82	1
19	19	19	1
82	83	82	1
41	41	42	1
85	85	82	1
80	80	80	1
71	72	71	1
89	89	89	1
28	28	28	1
14	14	14	1
41	41	40	1
57	57	57	1
77	77	77	1
30	30	30	1
78	78	78	1
8	8	8	1
49	49	49	1
23	24	23	1
33	33	33	1
12	12	12	1
82	82	83	1
19	19	19	1
3	3	3	1
92	92	92	1
60	60	60	1
57	57	57	1
49	49	49	1
58	60	56	1
